Kanji,Onyomi,English
軽い,かるい,"[1] light (i.e. not heavy); feeling light (i.e. offering little resistance, moving easily) [2] light (i.e. of foot); effortless; nimble; agile [3] non-serious; minor; unimportant; trivial"
,カレンダー,[1] calendar [2] calender (machine for flattening things)
,カレー,[1] curry (esp. Japanese curry) [2] rice and curry
川,かわ,[1] river; stream [2] River; the ... river [3] Gawa
可愛い,かわいい,[1] cute; adorable; charming; lovely; pretty [2] dear; precious; darling; pet [3] innocent; childlike; childish; lovable
漢字,かんじ,kanji; Chinese character
外国,がいこく,foreign country
外国人,がいこくじん,foreigner; foreign citizen; foreign national; alien; non-Japanese
学生,がくせい,student (esp. a university student)
学校,がっこう,[1] school [2] Gakkou
木,き,[1] tree; shrub; bush [2] wood; timber [3] wooden clappers (signalling the beginning or end of a performance)
黄色,きいろ,yellow; amber
黄色い,きいろい,[1] yellow [2] high-pitched (voice); shrill
消える,きえる,"[1] to disappear; to vanish; to go out of sight; to go away; to become lost [2] to go out (of a fire, light, etc.); to die; to turn off (e.g. of a TV screen) [3] to fade (of a feeling, impression, etc.); to vanish (e.g. of hope)"
聞く,きく,[1] to hear [2] to listen (e.g. to music) [3] to ask; to enquire; to query
聴く,きく,[1] to hear [2] to listen (e.g. to music) [3] to ask; to enquire; to query
北,きた,[1] north [2] the North; northern territories [3] North Korea
汚い,きたない,"[1] dirty; filthy; foul; unclean [2] disordered; messy; untidy; poor (e.g. handwriting) [3] indecent (language, etc.); dirty; vulgar; coarse"
喫茶店,きっさてん,coffee shop; tearoom; coffee lounge; coffeehouse; cafe
切手,きって,stamp (postage); merchandise certificate
切符,きっぷ,ticket
昨日,きのう,yesterday
今日,きょう,[1] today; this day [2] these days; recently; nowadays
教室,きょうしつ,[1] classroom; lecture room [2] department (in a university) [3] class; lessons; course
兄弟,きょうだい,[1] siblings; brothers and sisters [2] brothers [3] siblings-in-law; brothers-in-law; sisters-in-law
去年,きょねん,last year
嫌い,きらい,[1] disliked; hated; disagreeable [2] tendency; smack (of); touch (of) [3] distinction; discrimination
切る,きる,"[10] to shake off (water, etc.); to let drip-dry; to let drain [11] to cross; to traverse [12] to criticize sharply"
着る,きる,"[1] to wear (from the shoulders down); to put on [2] to take (the blame, responsibility); to bear"
綺麗,きれい,[1] pretty; lovely; beautiful; fair [2] clean; clear; pure; tidy; neat [3] completely; entirely
,キロ,[1] kilo-; 1000 [2] kilogram; kilogramme [3] kilometre; kilometer
,キログラム,kilogram; kilogramme
,キロメートル,kilometer; kilometre
金曜日,きんようび,Friday
,ギター,guitar
牛肉,ぎゅうにく,beef
牛乳,ぎゅうにゅう,(cow's) milk
銀行,ぎんこう,bank; banking institution
薬,くすり,"[1] medicine; pharmaceuticals; (legal) drugs; pill; ointment; salve [2] efficacious chemical (gunpowder, pesticide, etc.) [3] (pottery) glaze"
下さい,ください,[1] please (give me) [2] please (do for me)
果物,くだもの,fruit
口,くち,"[10] kind; sort; type [11] opening (i.e. beginning) [12] counter for mouthfuls, shares (of money), stove burners, and swords"
靴,くつ,shoe; shoes; boots; footwear; footgear
靴下,くつした,socks; sock; stockings; stocking
国,くに,[1] country; state [2] region [3] national government; central government
曇り,くもり,"[1] cloudiness; cloudy weather [2] fog (on a mirror, glasses, etc.); cloud (e.g. in marble); blur; mist; shadow; dimness [3] gloom; dejection"
曇る,くもる,[1] to get cloudy; to cloud over; to become overcast [2] to cloud up; to fog up; to mist up; to become dim [3] to be gloomy; to be clouded (expression); to be downcast
暗い,くらい,[1] dark; gloomy; murky [2] depressed; dispirited; down in the dumps; dark (mood) [3] dark (in colour); dull
,クラス,[1] class [2] Kras (Slovenia); Crass
来る,くる,[1] to come (spatially or temporally); to approach; to arrive [2] to come back; to do ... and come back [3] to come to be; to become; to get; to grow; to continue
車,くるま,[1] car; automobile; vehicle [2] wheel; castor; caster
黒,くろ,[1] black [2] black stone [3] guilt; guilty person
,グラム,gram; gramme
警官,けいかん,police officer; policeman; constable
今朝,けさ,this morning
消す,けす,"[1] to erase; to rub out; to rub off; to cross out; to delete [2] to turn off (a light, TV, heater, etc.); to switch off [3] to extinguish (a fire, candle, etc.); to put out"
結構,けっこう,"[1] splendid; nice; wonderful; delightful; lovely; excellent; fine [2] sufficient; satisfactory; enough; fine; all right; OK [3] not needing (any more of something); (already) having enough; fine (as in ""I'm fine""); no, thank you"
結婚,けっこん,marriage
月曜日,げつようび,Monday
玄関,げんかん,entrance; front door; entryway; entranceway; entry hall; vestibule; porch; foyer; mud room
元気,げんき,[1] lively; full of spirit; energetic; vigorous; vital; spirited [2] healthy; well; fit; in good health
公園,こうえん,(public) park
交差点,こうさてん,crossing; intersection
紅茶,こうちゃ,black tea
交番,こうばん,"[1] police box; koban; small neighborhood police station [2] alternation [3] alternating (current, stress, etc.)"
声,こえ,[1] voice [2] singing (of a bird); chirping (of an insect); hoot [3] voice; opinion (as expressed in words); view; wish; attitude; will
此処,ここ,[1] here; this place [2] this point; here; now [3] these past ... (e.g. three years); these last ...
９日,ここのか,[1] 9th day of the month [2] nine days [3] Kokonoka
九つ,ここのつ,[1] nine [2] nine years of age [3] twelve o'clock (old time system)
答える,こたえる,to answer; to reply
此方,こちら,[1] this way; this direction [2] here [3] this (one)
,コップ,[1] glass (drinking vessel); tumbler [2] cups (suit)
今年,ことし,this year
言葉,ことば,[1] language; dialect [2] word; phrase; expression; term [3] speech; (manner of) speaking; (use of) language
子供,こども,child; children
此の,この,"[1] this [2] last (couple of years, etc.); these; past; this [3] you (as in ""you liar"")"
,コピー,[1] copy; photocopy [2] book jacket blurb [3] (advertising) slogan
困る,こまる,[1] to be troubled; to have difficulty; to be in a fix; to be at a loss; to be stumped; to be embarrassed [2] to be bothered; to be inconvenienced; to be annoyed [3] to be badly off; to be hard up; to be in straitened circumstances
此れ,これ,[1] this; this one [2] this person [3] now; this point (in time)
今月,こんげつ,this month
今週,こんしゅう,this week
,こんな,this sort of; this kind of; like this; such
今日,こんにち,[1] today; this day [2] these days; recently; nowadays
今晩,こんばん,tonight; this evening
,コート,[1] coat [2] coating
,コーヒー,coffee
五,ご,five; 5
午後,ごご,afternoon; p.m.
午前,ごぜん,morning; a.m.
ご飯,ごはん,[1] cooked rice [2] meal
